acceleration,a_hat,action,penalty,force_norm,angles
"[0.0, 0.0, -6.399999999999999]","[-0.035353237799085495, -0.056632942261476665, 17.786644310311512]",1.709090909090909,24.278630490372073,13.547483213889342,[ 0.00205216 -0.00128107  0.        ]
"[0.0, 0.0, -3.1999999999999993]","[-0.010329124195114014, -0.01702448267933023, -1.7401097336294231]",0.7818181818181817,1.4872438732450204,13.79221808067556,[ 0.00210963 -0.00127996  0.        ]
"[0.0, 0.0, -5.0]","[-0.023252557403872453, -0.03915613402789502, 8.313279924387832]",1.0909090909090908,13.3756886158196,14.169154491528829,[ 0.00216054 -0.00128302  0.        ]
"[0.0, 0.0, 0.0]","[-0.017053165506796295, -0.03085946473303528, 3.4435658811565544]",1.9454545454545453,3.491478511396386,14.458486667485658,[ 0.00232838 -0.00128668  0.        ]
"[0.0, 0.0, -3.800000000000001]","[-0.009716060396543793, -0.018294156678949177, -2.2252846961861734]",0.2,1.6027255208893207,14.755773892228763,[ 0.00241197 -0.001281    0.        ]
"[0.0, 0.0, 0.0]","[-0.09648254706616868, -0.18531700307971366, 65.43817558456756]",1.2363636363636363,65.71997513471344,15.049693126545044,[ 0.00246274 -0.00128219  0.        ]
"[0.0, 0.0, -4.199999999999999]","[-0.0158193566863854, -0.030890183663554387, 2.5222763633330034]",1.4727272727272727,6.7689859036829425,15.24723842500855,[ 0.00250482 -0.00128276  0.        ]
"[0.0, 0.0, -2.200000000000002]","[-0.013660221645152655, -0.027898623251157696, 0.7458191444140977]",1.909090909090909,2.98737798931041,15.545910052721444,[ 0.00264295 -0.00129409  0.        ]
"[0.0, 0.0, 0.0]","[-0.010687050038812415, -0.022559345543007394, -1.5276257317650863]",1.6545454545454545,1.5608721273469062,15.8118772377015,[ 0.00272377 -0.00129034  0.        ]
"[0.0, 0.19999999999999996, 0.6000000000000005]","[-0.012558151489450949, -0.027081980602676078, -0.07617113649003797]",1.0,0.9158112685821654,16.105138038832585,[ 0.00278224 -0.00129015  0.        ]
