acceleration,a_hat,action,penalty,force_norm,angles
"[0.0, 0.0, 0.0]","[-0.0007990910636232221, 0.0049367375596543785, -3.424775258593205]",1.0,1.433210406928809,17.478751875287042,[-0.00077315 -0.00012515  0.        ]
"[0.0, 0.0, 0.0]","[-0.0007990910636232221, 0.0049367375596543785, -3.424775258593205]",1.0,3.161050814937095,17.478751875287042,[-0.00077315 -0.00012515  0.        ]
"[0.0, 0.0, 0.0]","[-0.000970749007617769, 0.005067746751343806, -3.4248973825703835]",2.070707070707071,0.5871576831073589,17.478417922496963,[-0.00079368 -0.00015203  0.        ]
"[0.0, 0.0, 0.0]","[-0.000970749007617769, 0.005067746751343806, -3.4248973825703835]",2.070707070707071,1.6635416064743387,17.478417922496963,[-0.00079368 -0.00015203  0.        ]
"[-0.5, 0.0, 0.0]","[-0.000970749007617769, 0.005067746751343806, -3.4248973825703835]",2.97979797979798,1.5956940329243752,17.478417922496963,[-0.00079368 -0.00015203  0.        ]
"[0.0, 0.0, 0.0]","[-0.000970749007617769, 0.005067746751343806, -3.4248973825703835]",2.97979797979798,0.030088750703528445,17.478417922496963,[-0.00079368 -0.00015203  0.        ]
"[0.0, 0.0, 0.0]","[-0.000970749007617769, 0.005067746751343806, -3.4248973825703835]",1.2828282828282829,0.07881328568320657,17.478417922496963,[-0.00079368 -0.00015203  0.        ]
"[0.0, 0.5, 0.0]","[-0.000970749007617769, 0.005067746751343806, -3.4248973825703835]",1.2828282828282829,0.9988601920434786,17.478417922496963,[-0.00079368 -0.00015203  0.        ]
"[0.0, -0.5, 0.0]","[0.0074389241802483306, -0.0033978547379540733, -3.425181072059127]",1.787878787878788,0.12846292323634798,17.477649988656644,[0.00053218 0.0011651  0.        ]
"[0.0, 0.0, 0.0]","[0.0074389241802483306, -0.0033978547379540733, -3.425181072059127]",1.787878787878788,0.6205965005073051,17.477649988656644,[0.00053218 0.0011651  0.        ]
"[0.0, 0.5, 0.0]","[0.0074389241802483306, -0.0033978547379540733, -3.425181072059127]",1.8080808080808082,0.7369830055396084,17.477649988656644,[0.00053218 0.0011651  0.        ]
"[0.0, -0.5, 0.0]","[0.0074389241802483306, -0.0033978547379540733, -3.425181072059127]",1.8080808080808082,0.10849317609782165,17.477649988656644,[0.00053218 0.0011651  0.        ]
"[0.0, 0.0, 0.0]","[0.007325181794204398, -0.003320481691288593, -3.425333684586144]",2.393939393939394,1.2121114419003507,17.477231760048273,[0.00052007 0.00114731 0.        ]
"[0.0, 0.5, 0.0]","[0.007325181794204398, -0.003320481691288593, -3.425333684586144]",2.393939393939394,0.24869861737994794,17.477231760048273,[0.00052007 0.00114731 0.        ]
"[0.0, 0.0, 0.5]","[0.007325181794204398, -0.003320481691288593, -3.425333684586144]",1.7474747474747474,0.07666023027788758,17.477231760048273,[0.00052007 0.00114731 0.        ]
"[0.0, 0.0, -0.5]","[0.007325181794204398, -0.003320481691288593, -3.425333684586144]",1.7474747474747474,0.13458976298731315,17.477231760048273,[0.00052007 0.00114731 0.        ]
"[0.0, 0.0, 0.5]","[0.007325181794204398, -0.003320481691288593, -3.425333684586144]",1.5454545454545454,0.4127268152419243,17.477231760048273,[0.00052007 0.00114731 0.        ]
"[0.0, 0.0, -0.5]","[0.007325181794204398, -0.003320481691288593, -3.425333684586144]",1.5454545454545454,0.0481325338681298,17.477231760048273,[0.00052007 0.00114731 0.        ]
"[0.0, 0.0, 0.0]","[0.007323536755812291, -0.003362641955165246, -3.426018790415186]",2.1515151515151514,0.23892206299626628,17.475356426074292,[0.00052673 0.00114717 0.        ]
"[0.0, 0.0, 0.0]","[0.007323536755812291, -0.003362641955165246, -3.426018790415186]",2.1515151515151514,0.24453852811349355,17.475356426074292,[0.00052673 0.00114717 0.        ]
"[0.0, 0.0, 0.0]","[0.007323536755812291, -0.003362641955165246, -3.426018790415186]",1.7474747474747474,0.17782109368024332,17.475356426074292,[0.00052673 0.00114717 0.        ]
"[0.0, -0.5, 0.0]","[0.019534738642531913, 0.014513822964103388, 7.664569183064115]",1.7474747474747474,0.44475935352708074,17.47458612931262,[-0.00083057  0.00111789  0.        ]
"[0.0, 0.0, 0.0]","[0.019534738642531913, 0.014513822964103388, 7.664569183064115]",2.575757575757576,0.23515196464071553,17.47458612931262,[-0.00083057  0.00111789  0.        ]
"[0.0, 0.5, 0.0]","[0.019534738642531913, 0.014513822964103388, 7.664569183064115]",2.575757575757576,0.18997191780004463,17.47458612931262,[-0.00083057  0.00111789  0.        ]
"[0.0, 0.0, 0.0]","[0.019534738642531913, 0.014513822964103388, 7.664569183064115]",1.8888888888888888,0.08419915034921786,17.47458612931262,[-0.00083057  0.00111789  0.        ]
