acceleration,a_hat,action,penalty,force_norm,angles
"[0.0, -33.49999999999999, 4.5]","[-0.014754763311247409, 0.014651423557513303, 0.8237125083343025]",1.606060606060606,2.5691426783209894,22.234168661980448,[-0.00137783 -0.00138754  0.        ]
"[0.0, 0.0, 0.0]","[-0.014754763311247409, 0.014651423557513303, 0.8237125083343025]",1.606060606060606,1.7332667269054929,22.234168661980448,[-0.00137783 -0.00138754  0.        ]
"[0.0, -0.5, 0.0]","[-0.014754763311247409, 0.014651423557513303, 0.8237125083343025]",1.8484848484848486,0.897848645591637,22.234168661980448,[-0.00137783 -0.00138754  0.        ]
"[0.0, 0.5, 0.0]","[-0.014754763311247409, 0.014651423557513303, 0.8237125083343025]",1.8484848484848486,3.7479001858182874,22.234168661980448,[-0.00137783 -0.00138754  0.        ]
"[0.0, 0.0, 0.0]","[-0.014754763311247409, 0.014651423557513303, 0.8237125083343025]",1.1616161616161615,0.8659080546554212,22.234168661980448,[-0.00137783 -0.00138754  0.        ]
"[0.0, 0.5, 0.0]","[-0.019038875064985274, -0.00047755667466356196, 4.033643565607036]",1.1616161616161615,1.024772294237574,22.23375161464489,[ 3.44964258e-05 -1.37527833e-03  0.00000000e+00]
"[0.0, 0.0, 0.0]","[-0.019038875064985274, -0.00047755667466356196, 4.033643565607036]",2.8383838383838382,0.3268679870950836,22.23375161464489,[ 3.44964258e-05 -1.37527833e-03  0.00000000e+00]
"[0.0, -0.5, 0.0]","[-0.019038875064985274, -0.00047755667466356196, 4.033643565607036]",2.8383838383838382,0.3268339995193999,22.23375161464489,[ 3.44964258e-05 -1.37527833e-03  0.00000000e+00]
"[0.0, 0.5, 0.0]","[-0.019038875064985274, -0.00047755667466356196, 4.033643565607036]",3.0,0.5435361815979162,22.23375161464489,[ 3.44964258e-05 -1.37527833e-03  0.00000000e+00]
"[0.0, 0.0, 0.0]","[-0.019427401741298134, 0.01727542431649899, 4.033481944863635]",3.0,0.45752231750835964,22.233510207737012,[-0.00124791 -0.00140336  0.        ]
"[0.0, -0.5, 0.0]","[-0.019427401741298134, 0.01727542431649899, 4.033481944863635]",2.4343434343434343,0.21895679686361746,22.233510207737012,[-0.00124791 -0.00140336  0.        ]
"[0.0, 0.5, 0.0]","[-0.019427401741298134, 0.01727542431649899, 4.033481944863635]",2.4343434343434343,0.3407454234578949,22.233510207737012,[-0.00124791 -0.00140336  0.        ]
"[0.0, 0.0, 0.0]","[-0.019427401741298134, 0.01727542431649899, 4.033481944863635]",2.4343434343434343,0.5054361682718016,22.233510207737012,[-0.00124791 -0.00140336  0.        ]
"[0.0, -0.5, 0.0]","[-0.019427401741298134, 0.01727542431649899, 4.033481944863635]",2.4343434343434343,0.400850588984223,22.233510207737012,[-0.00124791 -0.00140336  0.        ]
"[0.0, 0.5, 0.0]","[-0.019427401741298134, 0.01727542431649899, 4.033481944863635]",2.6161616161616164,0.292847715974809,22.233510207737012,[-0.00124791 -0.00140336  0.        ]
"[0.0, 0.0, 0.0]","[-0.01924381155114519, 0.016033634429682374, 4.033400571090958]",2.6161616161616164,0.3185697020357209,22.233376705540305,[-0.00115821 -0.00139011  0.        ]
"[0.0, -0.5, 0.0]","[-0.01924381155114519, 0.016033634429682374, 4.033400571090958]",2.494949494949495,0.2914596834629612,22.233376705540305,[-0.00115821 -0.00139011  0.        ]
"[0.0, 0.0, 0.0]","[-0.01924381155114519, 0.016033634429682374, 4.033400571090958]",2.494949494949495,0.2750841896896072,22.233376705540305,[-0.00115821 -0.00139011  0.        ]
